{1,2}	skip moves:[[1 1] [2 2]]; speedup:22.5=>18
{1,2,4,5,8,9,10,11}	skip moves:[[1 3] [2 3]]; speedup:29.52=>29.31
{1,3,4,5,8,9,10,11}	skip moves:[[2 2] [2 3]]; speedup:29.09=>29.04
{2,3,4,5,8,9,10,11}	skip moves:[[1 3] [1 4]]; speedup:28.65=>28.62
{1,2,3,4,5,8,9,10,11}	skip moves:[[2 5] [3 4]]; speedup:29.6=>29.52
{1,6,8,9,10,11}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:32.91=>28.71
{2,6,8,9,10,11}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:28.83=>27.9
{1,2,6,8,9,10,11}	skip moves:[[3 3] [2 4] [1 6] [1 5] [6 6]]; speedup:30.59=>30.27
{3,6,8,9,10,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:27.68=>27.58
{1,3,6,8,9,10,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:29.16=>29
{2,3,6,8,9,10,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:28.67=>28.53
{1,2,3,6,8,9,10,11}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:29.97=>29.56
{1,4,6,8,9,10,11}	skip moves:[[2 2] [1 3] [3 3] [2 4] [1 5] [6 6]]; speedup:28.7=>28.51
{2,4,6,8,9,10,11}	skip moves:[[3 3] [1 5] [6 6]]; speedup:28.21=>28.17
{1,2,4,6,8,9,10,11}	skip moves:[[1 3] [3 3] [1 5] [6 6]]; speedup:29.5=>29.16
{3,4,6,8,9,10,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:27.88=>27.87
{1,3,4,6,8,9,10,11}	skip moves:[[2 2] [2 4] [1 5] [6 6]]; speedup:28.97=>28.84
{2,3,4,6,8,9,10,11}	skip moves:[[1 5] [6 6]]; speedup:28.61=>28.56
{1,2,3,4,6,8,9,10,11}	skip moves:[[1 5] [6 6] [3 4]]; speedup:29.46=>29.34
{1,5,6,8,9,10,11}	skip moves:[[2 3] [1 4] [3 3] [2 4] [6 6]]; speedup:28.33=>28.12
{2,5,6,8,9,10,11}	skip moves:[[1 4] [2 3] [2 4] [1 5] [3 3] [6 6]]; speedup:27.88=>27.84
{1,2,5,6,8,9,10,11}	skip moves:[[2 3] [1 4] [2 4] [3 3] [6 6]]; speedup:29.27=>28.87
{1,3,5,6,8,9,10,11}	skip moves:[[2 3] [1 4] [2 4] [6 6]]; speedup:28.69=>28.56
{2,3,5,6,8,9,10,11}	skip moves:[[1 4] [2 4] [1 5] [6 6]]; speedup:28.43=>28.37
{1,2,3,5,6,8,9,10,11}	skip moves:[[1 4] [2 4] [6 6]]; speedup:29.18=>29.1
{1,4,5,6,8,9,10,11}	skip moves:[[2 3] [2 4] [3 3] [6 6]]; speedup:28.39=>28.31
{2,4,5,6,8,9,10,11}	skip moves:[[3 3] [1 5] [6 6]]; speedup:28.19=>28.18
{1,2,4,5,6,8,9,10,11}	skip moves:[[1 3] [2 3] [3 3] [6 6]]; speedup:28.87=>28.82
{1,3,4,5,6,8,9,10,11}	skip moves:[[2 3] [2 4] [6 6]]; speedup:28.68=>28.63
{2,3,4,5,6,8,9,10,11}	skip moves:[[1 4] [1 5] [6 6]]; speedup:28.51=>28.5
{1,2,3,4,5,6,8,9,10,11}	skip moves:[[6 6]]; speedup:29.02=>29
{1,2,7,8,9,10,11}	skip moves:[[1 1] [2 2]]; speedup:32.14=>31.58
{1,3,7,8,9,10,11}	skip moves:[[3 3] [1 2]]; speedup:31.85=>30.14
{2,3,7,8,9,10,11}	skip moves:[[3 3] [1 2]]; speedup:29.75=>29.52
{1,2,3,7,8,9,10,11}	skip moves:[[2 3]]; speedup:32.98=>32.09
{1,4,7,8,9,10,11}	skip moves:[[2 2] [1 3]]; speedup:31.32=>29.54
{2,4,7,8,9,10,11}	skip moves:[[1 3]]; speedup:28.91=>28.69
{1,2,4,7,8,9,10,11}	skip moves:[[1 4] [1 3] [2 4]]; speedup:32.31=>31.37
{3,4,7,8,9,10,11}	skip moves:[[2 2] [1 3]]; speedup:28.31=>28.31
{1,3,4,7,8,9,10,11}	skip moves:[[2 2]]; speedup:29.88=>29.87
{2,3,4,7,8,9,10,11}	skip moves:[[1 3]]; speedup:29.33=>29.32
{1,2,3,4,7,8,9,10,11}	skip moves:[[3 3]]; speedup:30.29=>30.26
{1,5,7,8,9,10,11}	skip moves:[[2 3] [1 4]]; speedup:31.56=>29.23
{2,5,7,8,9,10,11}	skip moves:[[2 3] [1 4]]; speedup:28.88=>28.39
{1,2,5,7,8,9,10,11}	skip moves:[[1 5] [2 3] [1 4]]; speedup:31.03=>30.9
{3,5,7,8,9,10,11}	skip moves:[[2 3] [1 4]]; speedup:28.04=>27.99
{1,3,5,7,8,9,10,11}	skip moves:[[2 3] [1 4]]; speedup:29.59=>29.51
{2,3,5,7,8,9,10,11}	skip moves:[[1 4]]; speedup:29.05=>29.01
{1,2,3,5,7,8,9,10,11}	skip moves:[[3 3] [1 4]]; speedup:30.15=>29.99
{1,4,5,7,8,9,10,11}	skip moves:[[2 2] [1 3] [2 3]]; speedup:29.1=>29.04
{2,4,5,7,8,9,10,11}	skip moves:[[2 3] [1 4]]; speedup:28.62=>28.61
{1,2,4,5,7,8,9,10,11}	skip moves:[[1 3] [2 3]]; speedup:29.77=>29.59
{1,3,4,5,7,8,9,10,11}	skip moves:[[2 2] [2 3]]; speedup:29.36=>29.32
{2,3,4,5,7,8,9,10,11}	skip moves:[[1 4]]; speedup:29.04=>29.02
{1,6,7,8,9,10,11}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:32.66=>29.14
{2,6,7,8,9,10,11}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:28.92=>28.19
{1,2,6,7,8,9,10,11}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:30.73=>30.51
{3,6,7,8,9,10,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:27.96=>27.88
{1,3,6,7,8,9,10,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:29.48=>29.36
{2,3,6,7,8,9,10,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:28.9=>28.79
{1,2,3,6,7,8,9,10,11}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:30.22=>29.87
{1,4,6,7,8,9,10,11}	skip moves:[[2 2] [1 3] [3 3] [2 4] [1 5] [6 6]]; speedup:29.02=>28.86
{2,4,6,7,8,9,10,11}	skip moves:[[3 3] [1 5] [6 6]]; speedup:28.47=>28.44
{1,2,4,6,7,8,9,10,11}	skip moves:[[1 3] [3 3] [1 5] [6 6]]; speedup:29.76=>29.48
{3,4,6,7,8,9,10,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:28.23=>28.21
{1,3,4,6,7,8,9,10,11}	skip moves:[[2 2] [2 4] [1 5] [6 6]]; speedup:29.31=>29.21
{2,3,4,6,7,8,9,10,11}	skip moves:[[1 5] [6 6]]; speedup:28.9=>28.86
{1,2,3,4,6,7,8,9,10,11}	skip moves:[[1 5] [6 6]]; speedup:29.7=>29.65
{1,5,6,7,8,9,10,11}	skip moves:[[2 3] [1 4] [3 3] [2 4] [6 6]]; speedup:28.66=>28.48
{2,5,6,7,8,9,10,11}	skip moves:[[2 3] [1 4] [2 4] [3 3] [1 5] [6 6]]; speedup:28.23=>28.19
{1,2,5,6,7,8,9,10,11}	skip moves:[[2 3] [1 4] [3 3] [2 4] [6 6]]; speedup:29.59=>29.25
{1,3,5,6,7,8,9,10,11}	skip moves:[[2 3] [1 4] [2 4] [6 6]]; speedup:28.99=>28.88
{2,3,5,6,7,8,9,10,11}	skip moves:[[1 4] [2 4] [1 5] [6 6]]; speedup:28.75=>28.69
{1,2,3,5,6,7,8,9,10,11}	skip moves:[[1 4] [2 4] [6 6]]; speedup:29.5=>29.43
{1,4,5,6,7,8,9,10,11}	skip moves:[[2 3] [3 3] [2 4] [6 6]]; speedup:28.7=>28.64
{2,4,5,6,7,8,9,10,11}	skip moves:[[1 5] [3 3] [6 6]]; speedup:28.5=>28.49
{1,2,4,5,6,7,8,9,10,11}	skip moves:[[1 3] [2 3] [3 3] [6 6]]; speedup:29.22=>29.18
{3,4,5,6,7,8,9,10,11}	skip moves:[[2 4] [1 5] [6 6]]; speedup:28.35=>28.35
{1,3,4,5,6,7,8,9,10,11}	skip moves:[[2 3] [2 4] [6 6]]; speedup:29.04=>29
{2,3,4,5,6,7,8,9,10,11}	skip moves:[[1 4] [1 5] [6 6]]; speedup:28.87=>28.85
{1,2,3,4,5,6,7,8,9,10,11}	skip moves:[[6 6]]; speedup:29.37=>29.36
{1,2,12}	skip moves:[[1 1] [2 2]]; speedup:44.4=>42
{1,3,12}	skip moves:[[1 2] [3 3]]; speedup:46.43=>40.75
{2,3,12}	skip moves:[[1 2] [3 3]]; speedup:40.88=>40.2
{1,2,3,12}	skip moves:[[2 3]]; speedup:44.97=>42.71
{1,4,12}	skip moves:[[1 3] [2 2] [4 4]]; speedup:47.1=>40.2
{2,4,12}	skip moves:[[1 3] [4 4]]; speedup:40.39=>39.42
{1,2,4,12}	skip moves:[[2 4]]; speedup:44.03=>42.04
{3,4,12}	skip moves:[[1 3] [2 2] [4 4]]; speedup:38.97=>38.96
{1,3,4,12}	skip moves:[[2 2] [4 4] [3 4]]; speedup:42.72=>40.65
{2,3,4,12}	skip moves:[[1 3] [4 4] [3 4]]; speedup:40.4=>40.15
{1,2,3,4,12}	skip moves:[[3 4] [3 3] [4 4]]; speedup:41.31=>41.04
{1,5,12}	skip moves:[[1 4] [2 3] [5 5]]; speedup:47.73=>39.9
{2,5,12}	skip moves:[[1 4] [2 3] [5 5]]; speedup:40.5=>39
{1,2,5,12}	skip moves:[[2 3] [1 5] [5 5] [1 4] [2 5]]; speedup:43.56=>41.56
{3,5,12}	skip moves:[[1 4] [2 3] [5 5]]; speedup:38.74=>38.52
{1,3,5,12}	skip moves:[[2 3] [1 4] [5 5] [3 5]]; speedup:42.15=>40.3
{2,3,5,12}	skip moves:[[1 4] [5 5] [3 5]]; speedup:40.14=>39.75
{1,2,3,5,12}	skip moves:[[3 3] [3 5] [5 5] [1 4]]; speedup:41.24=>40.77
{1,4,5,12}	skip moves:[[4 4] [2 2] [1 3] [2 3] [5 5] [4 5]]; speedup:41.82=>39.84
{2,4,5,12}	skip moves:[[2 3] [5 5] [1 4] [4 5]]; speedup:39.64=>39.28
{1,2,4,5,12}	skip moves:[[4 4] [1 3] [4 5] [2 3] [5 5]]; speedup:40.92=>40.34
{3,4,5,12}	skip moves:[[2 3] [1 4] [5 5] [4 5]]; speedup:38.93=>38.9
{1,3,4,5,12}	skip moves:[[3 5] [2 2] [4 4] [5 5] [2 3] [4 5]]; speedup:40.24=>40.07
{2,3,4,5,12}	skip moves:[[4 4] [1 3] [1 4] [5 5] [4 5]]; speedup:39.76=>39.64
{1,2,3,4,5,12}	skip moves:[[2 5] [4 4] [5 5] [3 4] [3 5] [4 5]]; speedup:40.98=>40.61
{1,6,12}	skip moves:[[1 5] [2 4] [3 3]]; speedup:47.67=>39.75
{2,6,12}	skip moves:[[1 5] [2 4] [3 3]]; speedup:40.4=>38.8
{1,2,6,12}	skip moves:[[2 4] [1 6] [3 3] [1 5] [2 6]]; speedup:43.48=>41.34
{3,6,12}	skip moves:[[1 5] [2 4]]; speedup:38.58=>38.3
{1,3,6,12}	skip moves:[[2 4] [1 5] [3 6]]; speedup:42.14=>40.13
{2,3,6,12}	skip moves:[[2 4] [1 5] [3 6]]; speedup:40.01=>39.54
{1,2,3,6,12}	skip moves:[[2 6] [3 3] [3 6] [2 4] [1 5]]; speedup:41.21=>40.6
{1,4,6,12}	skip moves:[[4 4] [1 3] [2 2] [3 3] [2 4] [1 5] [4 6]]; speedup:41.53=>39.68
{2,4,6,12}	skip moves:[[3 3] [1 5] [4 6]]; speedup:39.56=>39.12
{1,2,4,6,12}	skip moves:[[4 4] [1 3] [4 6] [3 3] [1 5]]; speedup:40.81=>40.22
{3,4,6,12}	skip moves:[[2 4] [1 5] [4 6]]; speedup:38.81=>38.74
{1,3,4,6,12}	skip moves:[[2 2] [4 4] [3 6] [1 5] [2 4] [4 6]]; speedup:40.16=>39.92
{2,3,4,6,12}	skip moves:[[1 3] [4 4] [1 5] [4 6]]; speedup:39.62=>39.5
{1,2,3,4,6,12}	skip moves:[[4 4] [2 6] [1 5] [3 4] [3 6] [4 6]]; speedup:40.87=>40.45
{1,5,6,12}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4] [5 6]]; speedup:41.4=>39.33
{2,5,6,12}	skip moves:[[2 4] [3 3] [1 5] [5 6]]; speedup:39.21=>38.83
{1,2,5,6,12}	skip moves:[[2 3] [1 4] [5 5] [2 4] [3 3] [5 6]]; speedup:40.65=>39.96
{3,5,6,12}	skip moves:[[2 4] [1 5] [5 6]]; speedup:38.54=>38.47
{1,3,5,6,12}	skip moves:[[3 5] [3 6] [5 5] [2 3] [1 4] [2 4] [5 6]]; speedup:39.92=>39.63
{2,3,5,6,12}	skip moves:[[5 5] [1 4] [1 5] [2 4] [5 6]]; speedup:39.42=>39.22
{1,2,3,5,6,12}	skip moves:[[2 6] [5 5] [1 4] [2 4] [3 5] [3 6] [5 6]]; speedup:40.64=>40.21
{1,4,5,6,12}	skip moves:[[5 5] [2 3] [4 5] [3 3] [2 4] [4 6] [5 6]]; speedup:39.61=>39.37
{2,4,5,6,12}	skip moves:[[2 3] [1 4] [5 5] [3 3] [1 5] [5 6]]; speedup:39.1=>39.02
{1,2,4,5,6,12}	skip moves:[[4 4] [1 3] [2 3] [5 5] [3 3] [4 5] [4 6] [5 6]]; speedup:40.31=>39.91
{3,4,5,6,12}	skip moves:[[5 5] [2 3] [1 4] [2 4] [1 5] [5 6]]; speedup:38.77=>38.72
{1,3,4,5,6,12}	skip moves:[[3 5] [3 6] [2 3] [5 5] [2 4] [4 5] [4 6] [5 6]]; speedup:39.86=>39.67
{2,3,4,5,6,12}	skip moves:[[1 4] [5 5] [4 5] [1 5] [4 6] [5 6]]; speedup:39.47=>39.37
{1,2,3,4,5,6,12}	skip moves:[[2 6] [4 4] [3 5] [3 6] [5 5] [4 5] [4 6] [5 6]]; speedup:40.22=>40.05
{1,2,7,12}	skip moves:[[1 1] [2 2]]; speedup:43.44=>42.36
{1,3,7,12}	skip moves:[[3 3] [1 2]]; speedup:44.14=>41.12
{2,3,7,12}	skip moves:[[3 3] [1 2]]; speedup:40.96=>40.58
{1,2,3,7,12}	skip moves:[[2 3]]; speedup:44.37=>42.97
{1,4,7,12}	skip moves:[[2 2] [4 4] [1 3]]; speedup:44.48=>40.58
{2,4,7,12}	skip moves:[[4 4] [1 3]]; speedup:40.37=>39.82
{1,2,4,7,12}	skip moves:[[4 4] [1 3] [1 4] [2 4]]; speedup:43.65=>42.32
{1,3,4,7,12}	skip moves:[[4 4] [2 2]]; speedup:40.99=>40.98
{2,3,4,7,12}	skip moves:[[4 4] [1 3]]; speedup:40.5=>40.49
{1,2,3,4,7,12}	skip moves:[[3 3] [4 4]]; speedup:41.47=>41.35
{1,5,7,12}	skip moves:[[2 3] [5 5] [1 4]]; speedup:44.93=>40.29
{2,5,7,12}	skip moves:[[2 3] [5 5] [1 4]]; speedup:40.56=>39.56
{1,2,5,7,12}	skip moves:[[2 3] [5 5] [1 4] [1 5]]; speedup:42.05=>41.86
{3,5,7,12}	skip moves:[[2 3] [5 5] [1 4]]; speedup:39.11=>38.96
{1,3,5,7,12}	skip moves:[[2 3] [5 5] [1 4] [3 5]]; speedup:41.97=>40.63
{2,3,5,7,12}	skip moves:[[1 4] [5 5] [3 5]]; speedup:40.48=>40.19
{1,2,3,5,7,12}	skip moves:[[3 3] [3 5] [5 5] [1 4]]; speedup:41.48=>41.1
{1,4,5,7,12}	skip moves:[[4 4] [2 2] [1 3] [2 3] [5 5] [4 5]]; speedup:41.59=>40.18
{2,4,5,7,12}	skip moves:[[2 3] [5 5] [1 4] [4 5]]; speedup:40.01=>39.75
{1,2,4,5,7,12}	skip moves:[[4 4] [1 3] [5 5] [2 3] [4 5]]; speedup:41.17=>40.7
{3,4,5,7,12}	skip moves:[[4 5] [2 3] [5 5] [1 4]]; speedup:39.39=>39.35
{1,3,4,5,7,12}	skip moves:[[3 5] [4 4] [2 2] [2 3] [5 5] [4 5]]; speedup:40.57=>40.42
{2,3,4,5,7,12}	skip moves:[[4 4] [1 3] [1 4] [5 5] [4 5]]; speedup:40.21=>40.13
{1,2,3,4,5,7,12}	skip moves:[[4 4] [5 5] [3 5] [4 5]]; speedup:41.19=>40.93
{1,6,7,12}	skip moves:[[2 4] [3 3] [1 5]]; speedup:45.66=>40.31
{2,6,7,12}	skip moves:[[3 3] [2 4] [1 5]]; speedup:40.21=>39.23
{1,2,6,7,12}	skip moves:[[2 4] [3 3] [1 5] [2 6]]; speedup:43.24=>41.65
{3,6,7,12}	skip moves:[[2 4] [1 5]]; speedup:38.93=>38.75
{1,3,6,7,12}	skip moves:[[1 5] [2 4] [3 6]]; speedup:42.12=>40.57
{2,3,6,7,12}	skip moves:[[1 5] [2 4] [3 6]]; speedup:40.24=>39.89
{1,2,3,6,7,12}	skip moves:[[2 6] [3 3] [3 6] [2 4] [1 5]]; speedup:41.47=>40.98
{1,4,6,7,12}	skip moves:[[2 2] [4 4] [1 3] [3 3] [2 4] [1 5] [4 6]]; speedup:41.61=>40.12
{2,4,6,7,12}	skip moves:[[3 3] [1 5] [4 6]]; speedup:39.81=>39.49
{1,2,4,6,7,12}	skip moves:[[4 4] [1 3] [3 3] [1 5] [4 6]]; speedup:41.08=>40.62
{3,4,6,7,12}	skip moves:[[4 6] [2 4] [1 5]]; speedup:39.27=>39.19
{1,3,4,6,7,12}	skip moves:[[4 4] [2 2] [3 6] [2 4] [1 5] [4 6]]; speedup:40.55=>40.36
{2,3,4,6,7,12}	skip moves:[[1 5] [4 6]]; speedup:40=>39.9
{1,2,3,4,6,7,12}	skip moves:[[2 6] [4 4] [1 5] [3 6] [4 6]]; speedup:41.12=>40.81
{1,5,6,7,12}	skip moves:[[3 3] [2 4] [5 5] [2 3] [1 4] [5 6]]; speedup:41.43=>39.78
{2,5,6,7,12}	skip moves:[[3 3] [2 4] [1 5] [5 6]]; speedup:39.62=>39.29
{1,2,5,6,7,12}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4] [5 6]]; speedup:40.99=>40.41
{3,5,6,7,12}	skip moves:[[1 5] [2 4] [5 6]]; speedup:38.94=>38.88
{1,3,5,6,7,12}	skip moves:[[3 6] [3 5] [5 5] [2 3] [1 4] [2 4] [5 6]]; speedup:40.29=>40.03
{2,3,5,6,7,12}	skip moves:[[1 4] [5 5] [1 5] [2 4] [5 6]]; speedup:39.81=>39.65
{1,2,3,5,6,7,12}	skip moves:[[2 6] [1 4] [5 5] [2 4] [3 5] [3 6] [5 6]]; speedup:40.97=>40.59
{1,4,5,6,7,12}	skip moves:[[2 3] [5 5] [3 3] [2 4] [4 6] [4 5] [5 6]]; speedup:40=>39.79
{2,4,5,6,7,12}	skip moves:[[1 4] [2 3] [5 5] [4 6] [1 5] [3 3] [5 6]]; speedup:39.52=>39.45
{1,2,4,5,6,7,12}	skip moves:[[4 4] [1 3] [2 3] [5 5] [3 3] [4 5] [4 6] [5 6]]; speedup:40.67=>40.31
{3,4,5,6,7,12}	skip moves:[[5 5] [2 3] [1 4] [2 4] [1 5] [5 6]]; speedup:39.2=>39.15
{1,3,4,5,6,7,12}	skip moves:[[3 5] [3 6] [5 5] [2 3] [2 4] [4 5] [4 6] [5 6]]; speedup:40.25=>40.09
{2,3,4,5,6,7,12}	skip moves:[[4 5] [5 5] [1 4] [1 5] [4 6] [5 6]]; speedup:39.9=>39.81
{1,2,3,4,5,6,7,12}	skip moves:[[4 4] [3 5] [3 6] [5 5] [4 5] [4 6] [5 6]]; speedup:40.6=>40.45
{1,2,8,12}	skip moves:[[2 2]]; speedup:43.74=>42.56
{1,3,8,12}	skip moves:[[1 2] [3 3]]; speedup:44.58=>41.33
{2,3,8,12}	skip moves:[[3 3] [1 2]]; speedup:41.21=>40.8
{1,2,3,8,12}	skip moves:[[2 3]]; speedup:44.63=>43.14
{1,4,8,12}	skip moves:[[1 3] [2 2]]; speedup:44.2=>40.82
{2,4,8,12}	skip moves:[[1 3]]; speedup:40.5=>40.09
{1,2,4,8,12}	skip moves:[[1 4] [1 3] [2 4]]; speedup:44.02=>42.54
{3,4,8,12}	skip moves:[[2 2] [1 3]]; speedup:39.67=>39.66
{1,3,4,8,12}	skip moves:[[2 2] [3 4]]; speedup:42.75=>41.2
{2,3,4,8,12}	skip moves:[[1 3] [3 4]]; speedup:40.92=>40.72
{1,2,3,4,8,12}	skip moves:[[3 3] [3 4]]; speedup:41.69=>41.54
{1,5,8,12}	skip moves:[[2 3] [5 5] [1 4]]; speedup:45.45=>40.51
{2,5,8,12}	skip moves:[[2 3] [5 5] [1 4]]; speedup:40.62=>39.65
{1,2,5,8,12}	skip moves:[[1 5] [2 3] [5 5] [1 4] [2 5]]; speedup:43.52=>42.02
{3,5,8,12}	skip moves:[[2 3] [5 5] [1 4]]; speedup:39.52=>39.43
{1,3,5,8,12}	skip moves:[[1 4] [2 3] [5 5]]; speedup:40.98=>40.85
{2,3,5,8,12}	skip moves:[[5 5] [1 4]]; speedup:40.41=>40.33
{1,2,3,5,8,12}	skip moves:[[2 5] [3 3] [5 5] [1 4]]; speedup:41.58=>41.29
{1,4,5,8,12}	skip moves:[[2 2] [1 3] [5 5] [2 3] [4 5]]; speedup:41.97=>40.43
{2,4,5,8,12}	skip moves:[[1 4] [5 5] [2 3] [4 5]]; speedup:40.21=>39.93
{1,2,4,5,8,12}	skip moves:[[1 3] [5 5] [2 3] [4 5]]; speedup:41.31=>40.88
{1,3,4,5,8,12}	skip moves:[[2 2] [5 5] [2 3] [4 5]]; speedup:40.79=>40.66
{2,3,4,5,8,12}	skip moves:[[1 3] [5 5] [1 4] [4 5]]; speedup:40.38=>40.29
{1,2,3,4,5,8,12}	skip moves:[[2 5] [5 5] [3 4] [4 5]]; speedup:41.35=>41.12
{1,6,8,12}	skip moves:[[2 4] [3 3] [1 5]]; speedup:45.36=>40.37
{2,6,8,12}	skip moves:[[2 4] [3 3] [1 5]]; speedup:40.81=>39.72
{1,2,6,8,12}	skip moves:[[3 3] [2 4] [1 6] [1 5]]; speedup:42.14=>41.84
{3,6,8,12}	skip moves:[[2 4] [1 5]]; speedup:39.19=>39
{1,3,6,8,12}	skip moves:[[1 5] [2 4] [3 6]]; speedup:42.17=>40.67
{2,3,6,8,12}	skip moves:[[2 4] [1 5] [3 6]]; speedup:40.61=>40.26
{1,2,3,6,8,12}	skip moves:[[3 3] [3 6] [2 4] [1 5]]; speedup:41.64=>41.14
{1,4,6,8,12}	skip moves:[[2 2] [1 3] [3 3] [2 4] [1 5] [4 6]]; speedup:41.76=>40.27
{2,4,6,8,12}	skip moves:[[3 3] [1 5] [4 6]]; speedup:40.29=>39.97
{1,2,4,6,8,12}	skip moves:[[1 3] [3 3] [1 5] [4 6]]; speedup:41.28=>40.82
{3,4,6,8,12}	skip moves:[[2 4] [1 5] [4 6]]; speedup:39.5=>39.43
{1,3,4,6,8,12}	skip moves:[[2 2] [3 6] [2 4] [1 5] [4 6]]; speedup:40.68=>40.48
{2,3,4,6,8,12}	skip moves:[[1 3] [1 5] [4 6]]; speedup:40.3=>40.21
{1,2,3,4,6,8,12}	skip moves:[[1 5] [3 4] [3 6] [4 6]]; speedup:41.35=>41
{1,5,6,8,12}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4] [5 6]]; speedup:41.47=>39.89
{2,5,6,8,12}	skip moves:[[3 3] [2 4] [1 5] [2 3] [5 5] [1 4] [5 6]]; speedup:39.92=>39.62
{1,2,5,6,8,12}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4] [5 6]]; speedup:41.12=>40.55
{3,5,6,8,12}	skip moves:[[1 5] [2 4] [5 6]]; speedup:39.3=>39.22
{1,3,5,6,8,12}	skip moves:[[3 6] [5 5] [2 3] [1 4] [2 4] [5 6]]; speedup:40.44=>40.2
{2,3,5,6,8,12}	skip moves:[[5 5] [1 4] [1 5] [2 4] [5 6]]; speedup:40.12=>39.97
{1,2,3,5,6,8,12}	skip moves:[[5 5] [1 4] [2 4] [3 6] [5 6]]; speedup:41.07=>40.75
{1,4,5,6,8,12}	skip moves:[[2 3] [5 5] [4 5] [2 4] [3 3] [4 6] [5 6]]; speedup:40.17=>39.96
{2,4,5,6,8,12}	skip moves:[[3 3] [1 5] [5 5] [1 4] [2 3] [5 6]]; speedup:39.86=>39.79
{1,2,4,5,6,8,12}	skip moves:[[1 3] [2 3] [5 5] [3 3] [4 5] [4 6] [5 6]]; speedup:40.85=>40.49
{3,4,5,6,8,12}	skip moves:[[5 6] [2 4] [1 5]]; speedup:39.53=>39.49
{1,3,4,5,6,8,12}	skip moves:[[3 6] [5 5] [2 3] [2 4] [4 5] [4 6] [5 6]]; speedup:40.42=>40.25
{2,3,4,5,6,8,12}	skip moves:[[5 5] [1 4] [4 5] [1 5] [4 6] [5 6]]; speedup:40.17=>40.08
{1,2,3,4,5,6,8,12}	skip moves:[[3 6] [5 5] [4 5] [4 6] [5 6]]; speedup:40.76=>40.62
{1,2,7,8,12}	skip moves:[[1 1] [2 2]]; speedup:43.57=>42.84
{1,3,7,8,12}	skip moves:[[3 3] [1 2]]; speedup:43.78=>41.63
{2,3,7,8,12}	skip moves:[[3 3] [1 2]]; speedup:41.38=>41.1
{1,2,3,7,8,12}	skip moves:[[2 3]]; speedup:44.42=>43.35
{1,4,7,8,12}	skip moves:[[2 2] [1 3]]; speedup:43.36=>41.12
{2,4,7,8,12}	skip moves:[[1 3]]; speedup:40.68=>40.41
{1,2,4,7,8,12}	skip moves:[[1 3] [1 4] [2 4]]; speedup:43.84=>42.76
{1,3,4,7,8,12}	skip moves:[[2 2]]; speedup:41.47=>41.46
{2,3,4,7,8,12}	skip moves:[[1 3]]; speedup:41.01=>41
{1,2,3,4,7,8,12}	skip moves:[[3 3]]; speedup:41.84=>41.8
{1,5,7,8,12}	skip moves:[[2 3] [5 5] [1 4]]; speedup:44.25=>40.83
{2,5,7,8,12}	skip moves:[[2 3] [5 5] [1 4]]; speedup:40.83=>40.11
{1,2,5,7,8,12}	skip moves:[[5 5] [2 3] [1 4] [1 5]]; speedup:42.44=>42.27
{3,5,7,8,12}	skip moves:[[1 4] [5 5] [2 3]]; speedup:39.83=>39.76
{1,3,5,7,8,12}	skip moves:[[2 3] [5 5] [1 4]]; speedup:41.22=>41.12
{2,3,5,7,8,12}	skip moves:[[1 4] [5 5]]; speedup:40.75=>40.7
{1,2,3,5,7,8,12}	skip moves:[[3 3] [5 5] [1 4]]; speedup:41.8=>41.56
{1,4,5,7,8,12}	skip moves:[[1 3] [2 2] [2 3] [5 5] [4 5]]; speedup:41.87=>40.7
{2,4,5,7,8,12}	skip moves:[[1 4] [5 5] [2 3] [4 5]]; speedup:40.53=>40.31
{1,2,4,5,7,8,12}	skip moves:[[1 3] [2 3] [5 5] [4 5]]; speedup:41.53=>41.18
{1,3,4,5,7,8,12}	skip moves:[[2 2] [2 3] [5 5] [4 5]]; speedup:41.06=>40.95
{2,3,4,5,7,8,12}	skip moves:[[5 5] [1 4] [4 5]]; speedup:40.76=>40.7
{1,2,3,4,5,7,8,12}	skip moves:[[5 5] [4 5]]; speedup:41.54=>41.39
{1,6,7,8,12}	skip moves:[[3 3] [2 4] [1 5]]; speedup:44.63=>40.83
{2,6,7,8,12}	skip moves:[[3 3] [2 4] [1 5]]; speedup:40.78=>40.04
